                 Time	                V(VO)	                V(VI)
   0.0068706576557502	     4.96447944641113	                    0
  0.00687131530955879	       4.964599609375	                    0
  0.00687263061717598	     4.96483659744263	                    0
  0.00687526123241035	     4.96528434753418	                    0
   0.0068805224628791	     4.96597146987915	                    0
   0.0068910449238166	     4.96575164794922	                    0
  0.00691116821483223	     4.95488882064819	                    0
   0.0069487353535041	     4.87753105163574	                    0
  0.00700400268748848	     4.59576416015625	                    0
  0.00707120239451973	     3.99629807472229	                    0
  0.00713945190623848	     3.19390439987183	                    0
  0.00723513061717598	     2.01287794113159	                    0
  0.00735660278514473	    0.800554156303406	                    0
  0.00748275024608223	   0.0730948001146317	                    0
  0.00762923462108223	   -0.193178623914719	                    0
  0.00772039673045723	    -0.18097360432148	                    0
  0.00784073364451973	  -0.0717837736010551	                    0
  0.00791378051951973	  -0.0169054325670004	                    0
  0.00800030395701973	   0.0266773048788309	                    0
  0.00807864868358223	   0.0424518696963787	                    0
  0.00816959106639473	   0.0396452136337757	                    0
     0.00825000000002	   0.0293263923376799	   0.0999981313943863
    0.008250000000118	   0.0293263923376799	    0.589996814727783
    0.008250000000314	   0.0293263923376799	     1.56997680664063
  0.00825000000070599	   0.0293263923376799	     3.52993679046631
     0.00825000000102	   0.0293263923376799	                    5
   0.0082500000010984	   0.0293263923376799	                    5
   0.0082500000012552	   0.0293263923376799	                    5
  0.00825000000156879	   0.0293263923376799	                    5
  0.00825000000219598	   0.0293263923376799	                    5
  0.00825000000345035	   0.0293263923376799	                    5
   0.0082500000059591	   0.0293263923376799	                    5
   0.0082500000109766	   0.0293263904750347	                    5
   0.0082500000210116	   0.0293263904750347	                    5
  0.00825000004108161	   0.0293263867497444	                    5
  0.00825000008122161	    0.029326381161809	                    5
  0.00825000016150161	   0.0293263699859381	                    5
  0.00825000032206163	   0.0293263476341963	                    5
  0.00825000064318165	   0.0293263047933578	                    5
   0.0082500012854217	   0.0293262153863907	                    5
  0.00825000256990179	   0.0293260402977467	                    5
  0.00825000513886198	   0.0293256863951683	                    5
  0.00825001027678236	   0.0293249823153019	                    5
  0.00825002055262312	   0.0293235722929239	                    5
  0.00825004110430464	   0.0293207503855228	                    5
  0.00825008220766768	    0.029315110296011	                    5
  0.00825016441439375	   0.0293038338422775	                    5
   0.0082503288278459	   0.0292813014239073	                    5
   0.0082506576547502	   0.0292363464832306	                    5
  0.00825131530855879	   0.0291470903903246	                    5
  0.00825263061617598	   0.0289729088544846	                    5
  0.00825526123141035	   0.0286553129553795	                    5
   0.0082605224618791	   0.0282460134476423	                    5
   0.0082710449228166	   0.0290820058435202	                    5
   0.0082920898446916	   0.0423282384872437	                    5
  0.00832483520601973	    0.108844295144081	                    5
  0.00837735595797285	    0.362323969602585	                    5
   0.0084558349618791	     1.05649018287659	                    5
   0.0085449707040666	     2.12314128875732	                    5
   0.0086517333993791	     3.40179681777954	                    5
   0.0087834472665666	     4.53696441650391	                    5
   0.0089091796884416	       5.077064037323	                    5
   0.0090486083993791	     5.19556665420532	                    5
   0.0092102294931291	     5.07824277877808	                    5
  0.00929771728609785	     5.01556825637817	                    5
  0.00940867920016035	     4.96638202667236	                    5
  0.00952113037203535	     4.95365238189697	                    5
  0.00959940185641035	     4.96067428588867	                    5
  0.00960146167086932	      4.9610333442688	                    5
  0.00960558154391619	     4.96176147460938	                    5
  0.00961382129000994	     4.96323442459106	                    5
     0.00962000000102	     4.96435928344726	     4.90000200271606
    0.009620000001118	     4.96435928344726	     4.41000318527222
    0.009620000001314	     4.96435928344727	     3.43002319335938
  0.00962000000170599	     4.96435928344727	     1.47006320953369
     0.00962000000202	     4.96435928344727	                    0
   0.0096200000020984	     4.96435928344726	                    0
   0.0096200000022552	     4.96435928344726	                    0
  0.00962000000256879	     4.96435928344727	                    0
  0.00962000000319598	     4.96435928344727	                    0
  0.00962000000445035	     4.96435928344727	                    0
   0.0096200000069591	     4.96435928344727	                    0
   0.0096200000119766	     4.96435928344727	                    0
   0.0096200000220116	     4.96435928344727	                    0
  0.00962000004208161	     4.96435928344727	                    0
  0.00962000008222161	     4.96435928344727	                    0
